system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_9_2,2020-04-25,783-833,-26.320546932759733,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_3,2020-04-25,833-883,-25.769186316978317,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_4,2020-04-25,883-933,-25.30355437131221,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_5,2020-04-25,933-983,-25.39848214252331,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_6,2020-04-25,983-1033,-24.773547806067278,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_7,2020-04-25,1033-1083,-23.098108743799497,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_8,2020-04-25,1083-1133,-23.178451988335613,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_9,2020-04-25,1133-1183,-21.795174706360832,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_10,2020-04-25,1183-1233,-18.522089457103892,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_11,2020-04-25,1233-1283,-15.749984960200585,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_12,2020-04-25,1283-1333,-14.198459057594166,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_13,2020-04-25,1333-1383,-10.545738511776023,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_9_14,2020-04-25,1383-1433,-7.643120834056781,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_0,2020-05-07,683-733,-24.440944076857118,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_1,2020-05-07,733-783,-25.293732501244243,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_10_2,2020-05-07,783-833,-26.038930199499475,"{""type"":""MultiPoint"",""coordinates"":[]}"
