system:index,Date,ElevationBin,MeanBackscatter,.geo
1_1_1_1_1_1_2_11_4,2020-05-19,833-883,-26.004578702895547,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_5,2020-05-19,883-933,-25.78722215749997,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_6,2020-05-19,933-983,-25.588651436021944,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_7,2020-05-19,983-1033,-24.869498621946217,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_8,2020-05-19,1033-1083,-22.97504854277293,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_9,2020-05-19,1083-1133,-20.340838978551332,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_10,2020-05-19,1133-1183,-17.55493719821955,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_11,2020-05-19,1183-1233,-14.584791210871465,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_12,2020-05-19,1233-1283,-12.193086758808903,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_13,2020-05-19,1283-1333,-10.492174483453999,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_14,2020-05-19,1333-1383,-7.684416305562057,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_11_15,2020-05-19,1383-1433,-5.864058591010385,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_0,2020-05-31,633-683,-23.82889597436218,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_1,2020-05-31,683-733,-24.93745838232114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_2,2020-05-31,733-783,-25.923204056998813,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_3,2020-05-31,783-833,-25.956528425675963,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_4,2020-05-31,833-883,-25.948060557606116,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_5,2020-05-31,883-933,-26.008143236374455,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_6,2020-05-31,933-983,-25.984725509189495,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_7,2020-05-31,983-1033,-25.9381022193434,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_8,2020-05-31,1033-1083,-25.934818991465537,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_9,2020-05-31,1083-1133,-25.914176272180114,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_10,2020-05-31,1133-1183,-25.317559921138752,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_11,2020-05-31,1183-1233,-24.263594039663737,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_12,2020-05-31,1233-1283,-23.141299009315297,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_13,2020-05-31,1283-1333,-22.441519034712652,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_14,2020-05-31,1333-1383,-20.027252051403902,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_12_15,2020-05-31,1383-1433,-13.849888749835872,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_0,2020-06-12,633-683,-21.59969135524555,"{""type"":""MultiPoint"",""coordinates"":[]}"
1_1_1_1_1_1_2_13_1,2020-06-12,683-733,-23.643911001245527,"{""type"":""MultiPoint"",""coordinates"":[]}"
